Date,Value,avg,USDbalance,BTCbalance,Portfolio
"Sunday, 8 January 2017",993.6342857,0.227481345,10000,0,10000
"Sunday, 15 January 2017",835.2042857,0.181696298,7100,3.472204405,10000
"Sunday, 22 January 2017",892.0862268,0.199390266,5325,5.461922379,10197.50573
"Sunday, 29 January 2017",914.6201054,0.202954076,4047,6.85922383,10320.58402
"Sunday, 5 February 2017",988.3023375,0.224799897,3278.07,7.637254976,10825.98694
"Sunday, 12 February 2017",1014.337839,0.229398547,2688.0174,8.218967081,11024.82671
"Sunday, 19 February 2017",1027.603987,0.226096818,2177.294094,8.715971095,11133.86074
"Sunday, 26 February 2017",1129.104797,0.249598405,1850.69998,9.005221583,12018.53887
"Sunday, 5 March 2017",1238.81305,0.276452419,1628.615982,9.184493183,13006.486
"Sunday, 12 March 2017",1214.75776,0.266568896,1416.895905,9.35878314,12785.55035
"Sunday, 19 March 2017",1142.649237,0.244973414,1190.19256,9.557184659,12110.70232
"Sunday, 26 March 2017",1020.87708,0.216807072,940.2521223,9.80201378,10946.90332
"Sunday, 2 April 2017",1053.941142,0.226039506,761.6042191,9.97151841,11270.99772
"Sunday, 9 April 2017",1149.119109,0.24848841,647.3635862,10.07093424,12220.06657
"Sunday, 16 April 2017",1196.574728,0.256365558,556.7326841,10.14667619,12697.98899
"Sunday, 23 April 2017",1228.307232,0.258798705,478.7901084,10.21013147,13019.96843
"Sunday, 30 April 2017",1302.379718,0.270787758,421.3352954,10.25424672,13776.25825
"Sunday, 7 May 2017",1487.577818,0.309191615,383.4151188,10.27973795,15675.32526
"Sunday, 14 May 2017",1750.40465,0.359707037,360.4102116,10.29288057,18377.11622
"Sunday, 21 May 2017",1876.252473,0.37752088,342.3897011,10.30248509,19672.45283
"Sunday, 28 May 2017",2243.810935,0.438476036,342.3897011,10.30248509,23459.2184
"Sunday, 4 June 2017",2386.142227,0.442652834,342.3897011,10.30248509,24925.58442
"Sunday, 11 June 2017",2761.755531,0.490391775,342.3897011,10.30248509,28795.33488
"Sunday, 18 June 2017",2572.089924,0.434882853,342.3897011,10.30248509,26841.30779
"Sunday, 25 June 2017",2632.9361,0.431124583,342.3897011,10.30248509,27468.17461
"Sunday, 2 July 2017",2509.096431,0.399143688,325.270216,10.30930806,26192.31827
"Sunday, 9 July 2017",2557.159024,0.394825558,309.0067052,10.31566805,26687.81035
"Sunday, 16 July 2017",2251.784576,0.340785691,287.3762358,10.32527397,23537.66891
"Sunday, 23 July 2017",2439.481881,0.368144402,270.1336617,10.3323421,25475.69502
"Sunday, 30 July 2017",2691.019421,0.399598015,256.6269786,10.33736127,28074.66692
"Sunday, 6 August 2017",2925.394417,0.424402093,256.6269786,10.33736127,30497.48593
"Sunday, 13 August 2017",3531.287176,0.488175129,256.6269786,10.33736127,36760.81827
"Sunday, 20 August 2017",4200.260592,0.550838419,256.6269786,10.33736127,43676.23816
"Sunday, 27 August 2017",4227.408624,0.533201255,256.6269786,10.33736127,43956.87717
"Sunday, 3 September 2017",4600.320114,0.553098234,256.6269786,10.33736127,47811.79797
"Sunday, 10 September 2017",4403.637449,0.512515454,256.6269786,10.33736127,45778.6182
"Sunday, 17 September 2017",3779.09973,0.438027625,256.6269786,10.33736127,39322.54617
"Sunday, 24 September 2017",3812.213493,0.433979899,256.6269786,10.33736127,39664.8551
"Sunday, 1 October 2017",4093.488438,0.450272879,256.6269786,10.33736127,42572.49583
"Sunday, 8 October 2017",4377.433329,0.464148703,256.6269786,10.33736127,45507.73675
"Sunday, 15 October 2017",5165.547295,0.516845233,256.6269786,10.33736127,53654.75554
"Sunday, 22 October 2017",5798.042385,0.550029228,256.6269786,10.33736127,60193.08579
"Sunday, 29 October 2017",5880.197398,0.536325577,256.6269786,10.33736127,61042.35184
"Sunday, 5 November 2017",6849.096461,0.584584972,256.6269786,10.33736127,71058.21149
"Sunday, 12 November 2017",6767.542199,0.557439992,256.6269786,10.33736127,70215.15562
"Sunday, 19 November 2017",7407.697515,0.580131114,256.6269786,10.33736127,76832.67239
"Sunday, 26 November 2017",8334.494371,0.613511801,439.7200433,10.31539317,86413.30633
"Sunday, 3 December 2017",10404.79855,0.700824828,828.0926932,10.27806686,107769.3079
"Sunday, 10 December 2017",14298.93155,0.85286015,1994.412293,10.19649996,147793.4672
"Sunday, 17 December 2017",17422.35762,0.931610903,4001.598,10.08129249,179641.481
"Sunday, 24 December 2017",16149.44976,0.817470668,5092.168935,10.01376258,166808.9246
"Sunday, 31 December 2017",14203.57581,0.700003187,5604.42406,9.977697355,147323.4049
"Sunday, 7 January 2018",15791.94662,0.722741543,6249.319533,9.936860371,163171.6881
"Sunday, 14 January 2018",14181.62371,0.642032168,6608.484159,9.911534313,147170.1342
"Sunday, 21 January 2018",12237.07819,0.555878531,6608.484159,9.911534313,127896.7045
"Sunday, 28 January 2018",11333.81914,0.511971356,6608.484159,9.911534313,118944.0215
"Sunday, 4 February 2018",9531.110714,0.440941502,6608.484159,9.911534313,101076.415
"Sunday, 11 February 2018",7859.026176,0.378965132,6278.059952,9.953578225,84503.49177
"Sunday, 18 February 2018",9646.720595,0.432181943,6278.059952,9.953578225,102297.448
"Sunday, 25 February 2018",10529.77405,0.45025581,6278.059952,9.953578225,111086.9896
"Sunday, 4 March 2018",10819.40857,0.44909077,6278.059952,9.953578225,113969.8895
"Sunday, 11 March 2018",9847.31381,0.413005476,6278.059952,9.953578225,104294.0683
"Sunday, 18 March 2018",8692.701714,0.374555393,5964.156954,9.989689323,92801.54646
"Sunday, 25 March 2018",8665.84,0.372322032,5665.949106,10.0241012,92533.20627
"Sunday, 1 April 2018",7571.530952,0.334862281,5269.332669,10.0764838,81563.74163
"Sunday, 8 April 2018",6993.640952,0.312385042,4795.092729,10.14429396,75740.64241
"Sunday, 15 April 2018",7510.930626,0.324941313,4411.48531,10.19536718,80988.18093
"Sunday, 22 April 2018",8456.419669,0.350079366,4146.796192,10.22666756,90627.78889
"Sunday, 29 April 2018",9239.866238,0.367449799,3897.98842,10.2535952,98639.8365
"Sunday, 6 May 2018",9506.658182,0.36790831,3664.109115,10.27819683,101375.4131
"Sunday, 13 May 2018",8987.016381,0.345897683,3407.621477,10.30673663,96034.43238
"Sunday, 20 May 2018",8389.602333,0.324732799,3135.011759,10.33923039,89877.04313
"Sunday, 27 May 2018",7740.805646,0.299279693,2821.510583,10.3797302,83168.98471
"Sunday, 3 June 2018",7484.855,0.288663338,2511.144419,10.42119609,80512.28606
