Date,Value,avg,USDbalance,BTCbalance,Portfolio,Multiplier
8/1/17,993.6342857,0.227481345,10000,0,10000,
15/1/17,835.2042857,0.181696298,4350.232763,6.764533341,10000,0.564976724
22/1/17,892.0862268,0.199390266,2166.256763,9.212700272,10384.77979,0.502036585
29/1/17,914.6201054,0.202954076,1104.251341,10.37384402,10592.37766,0.490249097
5/2/17,988.3023375,0.224799897,636.4401061,10.84719233,11356.74564,0.423645612
12/2/17,1014.337839,0.229398547,375.0218045,11.10491544,11639.15773,0.41075083
19/2/17,1027.603987,0.226096818,217.5230808,11.25818336,11786.47719,0.419972177
26/2/17,1129.104797,0.249598405,139.6220867,11.32717695,12929.19192,0.358127486
5/3/17,1238.81305,0.276452419,98.16640986,11.36064098,14171.87671,0.29691346
12/3/17,1214.75776,0.266568896,66.91022077,11.38637136,13898.59319,0.318400043
19/3/17,1142.649237,0.244973414,42.17804653,11.40801595,13077.53878,0.369632232
26/3/17,1020.87708,0.216807072,23.32662948,11.42648186,11688.36006,0.446948557
2/4/17,1053.941142,0.226039506,13.52632184,11.43578058,12066.16597,0.420133892
9/4/17,1149.119109,0.24848841,8.645202948,11.44002829,13154.60032,0.360860768
16/4/17,1196.574728,0.256365558,5.68999425,11.44249801,13697.49394,0.341832195
23/4/17,1228.307232,0.258798705,3.777453923,11.44405506,14060.59305,0.33612342
30/4/17,1302.379718,0.270787758,2.609887482,11.44495155,14908.28266,0.309088202
7/5/17,1487.577818,0.309191615,2.001384769,11.44536061,17027.86594,0.233152853
14/5/17,1750.40465,0.359707037,1.695994405,11.44553507,20036.01381,0.152589531
21/5/17,1876.252473,0.37752088,1.478491976,11.445651,21476.40949,0.12824478
28/5/17,2243.810935,0.438476036,1.478491976,11.445651,25683.35536,0
4/6/17,2386.142227,0.442652834,1.478491976,11.445651,27312.42965,0
11/6/17,2761.755531,0.490391775,1.478491976,11.445651,31611.56844,0
18/6/17,2572.089924,0.434882853,1.478491976,11.445651,29440.72209,0
25/6/17,2632.9361,0.431124583,1.478491976,11.445651,30137.14619,0
2/7/17,2509.096431,0.399143688,1.329120912,11.44571053,28719.72056,0.101029337
9/7/17,2557.159024,0.394825558,1.187869568,11.44576577,29269.83109,0.106274262
16/7/17,2251.784576,0.340785691,0.973336933,11.44586104,25774.58669,0.180602855
23/7/17,2439.481881,0.368144402,0.836263924,11.44591723,27922.94396,0.140827912
30/7/17,2691.019421,0.399598015,0.752233809,11.44594846,30802.02182,0.10048277
6/8/17,2925.394417,0.424402093,0.752233809,11.44594846,33484.66594,0
13/8/17,3531.287176,0.488175129,0.752233809,11.44594846,40419.68323,0
20/8/17,4200.260592,0.550838419,0.752233809,11.44594846,48076.71847,0
27/8/17,4227.408624,0.533201255,0.752233809,11.44594846,48387.45344,0
3/9/17,4600.320114,0.553098234,0.752233809,11.44594846,52655.77914,0
10/9/17,4403.637449,0.512515454,0.752233809,11.44594846,50404.55949,0
17/9/17,3779.09973,0.438027625,0.752233809,11.44594846,43256.13295,0
24/9/17,3812.213493,0.433979899,0.752233809,11.44594846,43635.15138,0
1/10/17,4093.488438,0.450272879,0.752233809,11.44594846,46854.6099,0
8/10/17,4377.433329,0.464148703,0.752233809,11.44594846,50104.62848,0
15/10/17,5165.547295,0.516845233,0.752233809,11.44594846,59125.34032,0
22/10/17,5798.042385,0.550029228,0.752233809,11.44594846,66364.84652,0
29/10/17,5880.197398,0.536325577,0.752233809,11.44594846,67305.18856,0
5/11/17,6849.096461,0.584584972,0.752233809,11.44594846,78395.1573,0
12/11/17,6767.542199,0.557439992,0.752233809,11.44594846,77461.69142,0
19/11/17,7407.697515,0.580131114,0.752233809,11.44594846,84788.87617,0
26/11/17,8334.494371,0.613511801,11918.74194,10.01598892,95396.94522,0.124931502
3/12/17,10404.79855,0.700824828,34555.72632,7.84035964,116133.089,0.217215624
10/12/17,14298.93155,0.85286015,116647.7531,2.099229505,146664.4921,0.732253417
17/12/17,17422.35762,0.931610903,150852.9529,0.1359361,153221.2803,0.935244765
24/12/17,16149.44976,0.817470668,152167.8434,0.054515958,153048.2461,0.598958942
31/12/17,14203.57581,0.700003187,152334.826,0.042759581,152942.165,0.215650187
7/1/18,15791.94662,0.722741543,152514.1152,0.031406376,153010.083,0.265512535
14/1/18,14181.62371,0.642032168,152577.3317,0.026948743,152959.5086,0.141934037
21/1/18,12237.07819,0.555878531,152577.3317,0.026948743,152907.1056,0
